"module name","license","repository"
"@anush008/tokenizers-darwin-universal@0.6.0","MIT","https://github.com/Anush008/tokenizers"
"@anush008/tokenizers@0.6.0","MIT","https://github.com/Anush008/tokenizers"
"adm-zip@0.5.17","MIT","https://github.com/cthackers/adm-zip"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"boolean@3.2.0","MIT","https://github.com/thenativeweb/boolean"
"chalk@5.6.2","MIT","https://github.com/chalk/chalk"
"cli-progress@3.12.0","MIT","https://github.com/npkgz/cli-progress"
"commander@14.0.3","MIT","https://github.com/tj/commander.js"
"debug@4.4.3","MIT","https://github.com/debug-js/debug"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"define-properties@1.2.1","MIT","https://github.com/ljharb/define-properties"
"detect-node@2.1.0","MIT","https://github.com/iliakan/detect-node"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es6-error@4.1.1","MIT","https://github.com/bjyoungblood/es6-error"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"global-agent@3.0.0","BSD-3-Clause","https://github.com/gajus/global-agent"
"globalthis@1.0.4","MIT","https://github.com/ljharb/System.global"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"json-stringify-safe@5.0.1","ISC","https://github.com/isaacs/json-stringify-safe"
"matcher@3.0.0","MIT","https://github.com/sindresorhus/matcher"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"nullpii@0.0.7","Apache-2.0","https://github.com/lBroth/nullpii"
"object-keys@1.1.1","MIT","https://github.com/ljharb/object-keys"
"onnxruntime-common@1.24.3","MIT","https://github.com/Microsoft/onnxruntime"
"onnxruntime-node@1.24.3","MIT","https://github.com/Microsoft/onnxruntime"
"roarr@2.15.4","BSD-3-Clause","https://github.com/gajus/roarr"
"semver-compare@1.0.0","MIT","https://github.com/substack/semver-compare"
"semver@7.7.4","ISC","https://github.com/npm/node-semver"
"serialize-error@7.0.1","MIT","https://github.com/sindresorhus/serialize-error"
"sprintf-js@1.1.3","BSD-3-Clause","https://github.com/alexei/sprintf.js"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"type-fest@0.13.1","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
